Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-06-25,mod_2,54344,458754,Soc. Dist. + Travel Ban,solid,Jun 25,"54,344","Jun 25: 54,344 projected cases per day"
2020-06-25,mod_4,26531,595461,Moderate return,solid,Jun 25,"26,531","Jun 25: 26,531 projected cases per day"
2020-06-25,mod_5,48587,954862,Normal (pre-intervention),solid,Jun 25,"48,587","Jun 25: 48,587 projected cases per day"
2020-06-25,mod_6,11495,61311,Cautious return,solid,Jun 25,"11,495","Jun 25: 11,495 projected cases per day"
2020-06-26,mod_2,54113,353074,Soc. Dist. + Travel Ban,solid,Jun 26,"54,113","Jun 26: 54,113 projected cases per day"
2020-06-26,mod_4,26514,617725,Moderate return,solid,Jun 26,"26,514","Jun 26: 26,514 projected cases per day"
2020-06-26,mod_5,47904,770169,Normal (pre-intervention),solid,Jun 26,"47,904","Jun 26: 47,904 projected cases per day"
2020-06-26,mod_6,11635,70312,Cautious return,solid,Jun 26,"11,635","Jun 26: 11,635 projected cases per day"
2020-06-27,mod_2,53778,388947,Soc. Dist. + Travel Ban,solid,Jun 27,"53,778","Jun 27: 53,778 projected cases per day"
2020-06-27,mod_4,26474,655059,Moderate return,solid,Jun 27,"26,474","Jun 27: 26,474 projected cases per day"
2020-06-27,mod_5,47127,729475,Normal (pre-intervention),solid,Jun 27,"47,127","Jun 27: 47,127 projected cases per day"
2020-06-27,mod_6,11747,70568,Cautious return,solid,Jun 27,"11,747","Jun 27: 11,747 projected cases per day"
2020-06-28,mod_2,53412,308745,Soc. Dist. + Travel Ban,solid,Jun 28,"53,412","Jun 28: 53,412 projected cases per day"
2020-06-28,mod_4,26392,714023,Moderate return,solid,Jun 28,"26,392","Jun 28: 26,392 projected cases per day"
2020-06-28,mod_5,46399,624440,Normal (pre-intervention),solid,Jun 28,"46,399","Jun 28: 46,399 projected cases per day"
