Dates,variable,value,color
2020-05-20,mod_3_up,26485191,red
2020-05-20,mod_2,700207,green
2020-05-20,mod_2_up,9926631,green
2020-05-20,mod_4,66907,blue
2020-05-20,mod_4_up,241210,blue
2020-05-21,mod_3,2642566,red
2020-05-21,mod_3_up,26770508,red
2020-05-21,mod_2,739981,green
2020-05-21,mod_2_up,10752702,green
2020-05-21,mod_4,76633,blue
2020-05-21,mod_4_up,281036,blue
2020-05-22,mod_3,2739523,red
2020-05-22,mod_3_up,27021391,red
2020-05-22,mod_2,780204,green
2020-05-22,mod_2_up,11547186,green
2020-05-22,mod_4,87230,blue
2020-05-22,mod_4_up,321981,blue
2020-05-23,mod_3,2835561,red
2020-05-23,mod_3_up,27247125,red
2020-05-23,mod_2,820815,green
2020-05-23,mod_2_up,12365969,green
2020-05-23,mod_4,98682,blue
2020-05-23,mod_4_up,374882,blue
2020-05-24,mod_3,2930566,red
2020-05-24,mod_3_up,27477769,red
2020-05-24,mod_2,861762,green
2020-05-24,mod_2_up,13169518,green
2020-05-24,mod_4,111008,blue
2020-05-24,mod_4_up,433274,blue
2020-05-25,mod_3,3024590,red
2020-05-25,mod_3_up,27678863,red
2020-05-25,mod_2,902932,green
2020-05-25,mod_2_up,13952610,green
2020-05-25,mod_4,124218,blue
2020-05-25,mod_4_up,503930,blue
2020-05-26,mod_3,3117534,red
2020-05-26,mod_3_up,27856619,red
2020-05-26,mod_2,944322,green
2020-05-26,mod_2_up,14670241,green
2020-05-26,mod_4,138284,blue
2020-05-26,mod_4_up,582410,blue
2020-05-27,mod_3,3209286,red
2020-05-27,mod_3_up,27995140,red
2020-05-27,mod_2,985912,green
2020-05-27,mod_2_up,15405789,green
2020-05-27,mod_4,153194,blue
2020-05-27,mod_4_up,680163,blue
2020-05-28,mod_3,3299757,red
2020-05-28,mod_3_up,28132652,red
2020-05-28,mod_2,1027640,green
2020-05-28,mod_2_up,16118051,green
2020-05-28,mod_4,168897,blue
2020-05-28,mod_4_up,788007,blue
2020-05-29,mod_3,3388971,red
2020-05-29,mod_3_up,28260312,red
2020-05-29,mod_2,1069492,green
2020-05-29,mod_2_up,16782695,green
2020-05-29,mod_4,185395,blue
2020-05-29,mod_4_up,907400,blue
2020-05-30,mod_3,3476869,red
2020-05-30,mod_3_up,28387526,red
2020-05-30,mod_2,1111352,green
2020-05-30,mod_2_up,17410226,green
2020-05-30,mod_4,202623,blue
2020-05-30,mod_4_up,1058854,blue
2020-05-31,mod_3,3563401,red
2020-05-31,mod_3_up,28482134,red
2020-05-31,mod_2,1153199,green
2020-05-31,mod_2_up,17967290,green
2020-05-31,mod_4,220531,blue
2020-05-31,mod_4_up,1222356,blue
2020-06-01,mod_3,3648642,red
2020-06-01,mod_3_up,28560664,red
2020-06-01,mod_2,1194955,green
2020-06-01,mod_2_up,18469556,green
2020-06-01,mod_4,239087,blue
2020-06-01,mod_4_up,1401654,blue
2020-06-02,mod_3,3732455,red
2020-06-02,mod_3_up,28642921,red
2020-06-02,mod_2,1236651,green
2020-06-02,mod_2_up,18965941,green
2020-06-02,mod_4,258233,blue
2020-06-02,mod_4_up,1628757,blue
2020-06-03,mod_3,3814872,red
2020-06-03,mod_3_up,28731930,red
2020-06-03,mod_2,1278189,green
2020-06-03,mod_2_up,19430025,green
2020-06-03,mod_4,277937,blue
2020-06-03,mod_4_up,1871206,blue
2020-06-04,mod_3,3895889,red
2020-06-04,mod_3_up,28791119,red
2020-06-04,mod_2,1319618,green
2020-06-04,mod_2_up,19838189,green
2020-06-04,mod_4,298114,blue
2020-06-04,mod_4_up,2142703,blue
2020-06-05,mod_3,3975482,red
2020-06-05,mod_3_up,28860725,red
2020-06-05,mod_2,1360856,green
2020-06-05,mod_2_up,20236016,green
2020-06-05,mod_4,318715,blue
2020-06-05,mod_4_up,2427061,blue
2020-06-06,mod_3,4053715,red
2020-06-06,mod_3_up,28931929,red
2020-06-06,mod_2,1401910,green
2020-06-06,mod_2_up,20570321,green
2020-06-06,mod_4,339718,blue
2020-06-06,mod_4_up,2748626,blue
2020-06-07,mod_3,4130502,red
2020-06-07,mod_3_up,28969128,red
2020-06-07,mod_2,1442721,green
2020-06-07,mod_2_up,20917323,green
2020-06-07,mod_4,361055,blue
2020-06-07,mod_4_up,3096758,blue
2020-06-08,mod_3,4205892,red
2020-06-08,mod_3_up,28986586,red
2020-06-08,mod_2,1483297,green
2020-06-08,mod_2_up,21196873,green
2020-06-08,mod_4,382655,blue
2020-06-08,mod_4_up,3479172,blue
2020-06-09,mod_3,4279790,red
2020-06-09,mod_3_up,29039111,red
2020-06-09,mod_2,1523585,green
2020-06-09,mod_2_up,21481858,green
2020-06-09,mod_4,404489,blue
2020-06-09,mod_4_up,3868160,blue
2020-06-10,mod_3,4352337,red
2020-06-10,mod_3_up,29077189,red
2020-06-10,mod_2,1563570,green
2020-06-10,mod_2_up,21707471,green
2020-06-10,mod_4,426513,blue
2020-06-10,mod_4_up,4294178,blue
2020-06-11,mod_3,4423500,red
2020-06-11,mod_3_up,29125713,red
2020-06-11,mod_2,1603252,green
2020-06-11,mod_2_up,21958503,green
2020-06-11,mod_4,448672,blue
2020-06-11,mod_4_up,4739515,blue
2020-06-12,mod_3,4493368,red
2020-06-12,mod_3_up,29151956,red
2020-06-12,mod_2,1642595,green
2020-06-12,mod_2_up,22182368,green
2020-06-12,mod_4,470950,blue
2020-06-12,mod_4_up,5201092,blue
2020-06-13,mod_3,4561845,red
2020-06-13,mod_3_up,29165542,red
2020-06-13,mod_2,1681615,green
2020-06-13,mod_2_up,22385119,green
2020-06-13,mod_4,493328,blue
2020-06-13,mod_4_up,5716550,blue
2020-06-14,mod_3,4629001,red
2020-06-14,mod_3_up,29191555,red
2020-06-14,mod_2,1720198,green
2020-06-14,mod_2_up,22562246,green
2020-06-14,mod_4,515760,blue
2020-06-14,mod_4_up,6265216,blue
2020-06-15,mod_3,4694872,red
2020-06-15,mod_3_up,29220027,red
2020-06-15,mod_2,1758468,green
2020-06-15,mod_2_up,22749228,green
2020-06-15,mod_4,538240,blue
2020-06-15,mod_4_up,6785822,blue
2020-06-16,mod_3,4759429,red
2020-06-16,mod_3_up,29257218,red
2020-06-16,mod_2,1796324,green
2020-06-16,mod_2_up,22907552,green
2020-06-16,mod_4,560740,blue
2020-06-16,mod_4_up,7366597,blue
2020-06-17,mod_3,4822766,red
2020-06-17,mod_3_up,29259979,red
2020-06-17,mod_2,1833778,green
2020-06-17,mod_2_up,23073508,green
2020-06-17,mod_4,583195,blue
2020-06-17,mod_4_up,7977034,blue
2020-06-18,mod_3,4884749,red
2020-06-18,mod_3_up,29273813,red
2020-06-18,mod_2,1870835,green
2020-06-18,mod_2_up,23250238,green
2020-06-18,mod_4,605668,blue
2020-06-18,mod_4_up,8624987,blue
2020-06-19,mod_3,4945507,red
2020-06-19,mod_3_up,29289658,red
2020-06-19,mod_2,1907478,green
2020-06-19,mod_2_up,23356106,green
2020-06-19,mod_4,628080,blue
2020-06-19,mod_4_up,9207337,blue
2020-06-20,mod_3,5005050,red
2020-06-20,mod_3_up,29290654,red
2020-06-20,mod_2,1943705,green
2020-06-20,mod_2_up,23494138,green
2020-06-20,mod_4,650417,blue
2020-06-20,mod_4_up,9880704,blue
2020-06-21,mod_3,5063412,red
2020-06-21,mod_3_up,29273674,red
2020-06-21,mod_2,1979474,green
2020-06-21,mod_2_up,23628429,green
2020-06-21,mod_4,672657,blue
2020-06-21,mod_4_up,10580850,blue
2020-06-22,mod_3,5120545,red
2020-06-22,mod_3_up,29288428,red
2020-06-22,mod_2,2014824,green
2020-06-22,mod_2_up,23729849,green
2020-06-22,mod_4,694808,blue
2020-06-22,mod_4_up,11232613,blue
2020-06-23,mod_3,5176537,red
2020-06-23,mod_3_up,29280605,red
2020-06-23,mod_2,2049714,green
2020-06-23,mod_2_up,23820073,green
2020-06-23,mod_4,716836,blue
2020-06-23,mod_4_up,11904416,blue
2020-06-24,mod_3,5231356,red
2020-06-24,mod_3_up,29283229,red
2020-06-24,mod_2,2084149,green
2020-06-24,mod_2_up,23898018,green
2020-06-24,mod_4,738724,blue
2020-06-24,mod_4_up,12560690,blue
2020-06-25,mod_3,5285015,red
2020-06-25,mod_3_up,29288128,red
2020-06-25,mod_2,2118151,green
2020-06-25,mod_2_up,23979068,green
2020-06-25,mod_4,760447,blue
