Dates,variable,value,color,type
2020-08-08,mod_4,1955986,Moderate return,solid
2020-08-08,mod_5,3206926,Normal (pre-intervention),solid
2020-08-08,mod_6,1057292,Cautious return,solid
2020-08-09,mod_2,3223208,Soc. Dist. + Travel Ban,solid
2020-08-09,mod_4,1972551,Moderate return,solid
2020-08-09,mod_5,3222427,Normal (pre-intervention),solid
2020-08-09,mod_6,1069848,Cautious return,solid
2020-08-10,mod_2,3241622,Soc. Dist. + Travel Ban,solid
2020-08-10,mod_4,1988814,Moderate return,solid
2020-08-10,mod_5,3237535,Normal (pre-intervention),solid
2020-08-10,mod_6,1082256,Cautious return,solid
2020-08-11,mod_2,3259732,Soc. Dist. + Travel Ban,solid
2020-08-11,mod_4,2004783,Moderate return,solid
2020-08-11,mod_5,3252302,Normal (pre-intervention),solid
2020-08-11,mod_6,1094528,Cautious return,solid
2020-08-12,mod_2,3277539,Soc. Dist. + Travel Ban,solid
2020-08-12,mod_4,2020507,Moderate return,solid
2020-08-12,mod_5,3266697,Normal (pre-intervention),solid
2020-08-12,mod_6,1106674,Cautious return,solid
2020-08-13,mod_2,3295136,Soc. Dist. + Travel Ban,solid
2020-08-13,mod_4,2035927,Moderate return,solid
2020-08-13,mod_5,3280797,Normal (pre-intervention),solid
2020-08-13,mod_6,1118699,Cautious return,solid
2020-08-14,mod_2,3312500,Soc. Dist. + Travel Ban,solid
2020-08-14,mod_4,2051099,Moderate return,solid
2020-08-14,mod_5,3294545,Normal (pre-intervention),solid
2020-08-14,mod_6,1130592,Cautious return,solid
2020-08-15,mod_2,3329461,Soc. Dist. + Travel Ban,solid
2020-08-15,mod_4,2066043,Moderate return,solid
2020-08-15,mod_5,3307915,Normal (pre-intervention),solid
2020-08-15,mod_6,1142332,Cautious return,solid
2020-08-16,mod_2,3346290,Soc. Dist. + Travel Ban,solid
2020-08-16,mod_4,2080702,Moderate return,solid
