Dates	variable	value	upper_ci	color	type	State
2020-07-21	mod_3	1146200	13570157	No Intervention	solid	ap
2020-07-21	mod_4	75188	521867	Moderate return	solid	ap
2020-07-21	mod_5	783628	10171315	Normal (pre-intervention)	solid	ap
2020-07-21	mod_6	11276	72317	Cautious return	solid	ap
2020-07-22	mod_2	113719	869512	Soc. Dist. + Travel Ban	solid	ap
2020-07-22	mod_3	1204601	14115535	No Intervention	solid	ap
2020-07-22	mod_4	80843	565193	Moderate return	solid	ap
2020-07-22	mod_5	829211	10777130	Normal (pre-intervention)	solid	ap
2020-07-22	mod_6	11865	74828	Cautious return	solid	ap
2020-07-23	mod_2	121598	941783	Soc. Dist. + Travel Ban	solid	ap
2020-07-23	mod_3	1263752	14638726	No Intervention	solid	ap
2020-07-23	mod_4	86782	615766	Moderate return	solid	ap
2020-07-23	mod_5	875637	11382419	Normal (pre-intervention)	solid	ap
2020-07-23	mod_6	12487	78043	Cautious return	solid	ap
2020-07-24	mod_2	129821	1025112	Soc. Dist. + Travel Ban	solid	ap
2020-07-24	mod_3	1323551	15147467	No Intervention	solid	ap
2020-07-24	mod_4	93029	668933	Moderate return	solid	ap
2020-07-24	mod_5	922822	11982089	Normal (pre-intervention)	solid	ap
2020-07-24	mod_6	13143	81367	Cautious return	solid	ap
2020-07-25	mod_2	138397	1115280	Soc. Dist. + Travel Ban	solid	ap
2020-07-25	mod_3	1383917	15623346	No Intervention	solid	ap
2020-07-25	mod_4	99570	724052	Moderate return	solid	ap
2020-07-25	mod_5	970703	12555901	Normal (pre-intervention)	solid	ap
2020-07-25	mod_6	13838	84774	Cautious return	solid	ap
2020-07-26	mod_2	147337	1214666	Soc. Dist. + Travel Ban	solid	ap
2020-07-26	mod_3	1444780	16078573	No Intervention	solid	ap
2020-07-26	mod_4	106413	784407	Moderate return	solid	ap
2020-07-26	mod_5	1019201	13109070	Normal (pre-intervention)	solid	ap
2020-07-26	mod_6	14572	88172	Cautious return	solid	ap
2020-07-27	mod_2	156623	1315274	Soc. Dist. + Travel Ban	solid	ap
2020-07-27	mod_3	1506080	16503629	No Intervention	solid	ap
2020-07-27	mod_4	113556	849439	Moderate return	solid	ap
