state,place,date,confirmed,tested,daily_confirmed,daily_tested,tpr,text
Punjab,pb,2020-04-15,186,5193,2,349,0.00573065902578797,Date: Apr 15<br>TPR:    0.57%
Rajasthan,rj,2020-04-15,1076,37860,71,2932,0.0242155525238745,Date: Apr 15<br>TPR:    2.42%
Tamil Nadu,tn,2020-04-15,1242,21994,38,2739,0.0138736765242789,Date: Apr 15<br>TPR:    1.39%
Tripura,tr,2020-04-15,2,738,0,401,0,Date: Apr 15<br>TPR:    0.00%
India,tt,2020-04-15,12371,274599,886,29706,0.0298256244529725,Date: Apr 15<br>TPR:    2.98%
Uttar Pradesh,up,2020-04-15,735,19506,75,3592,0.0208797327394209,Date: Apr 15<br>TPR:    2.09%
Uttarakhand,ut,2020-04-15,37,2413,0,239,0,Date: Apr 15<br>TPR:    0.00%
West Bengal,wb,2020-04-15,213,3470,23,389,0.0591259640102828,Date: Apr 15<br>TPR:    5.91%
Andhra Pradesh,ap,2020-04-16,534,20235,9,8622,0.00104384133611691,Date: Apr 16<br>TPR:    0.10%
Assam,as,2020-04-16,35,4108,2,495,0.00404040404040404,Date: Apr 16<br>TPR:    0.40%
Bihar,br,2020-04-16,83,8846,11,583,0.0188679245283019,Date: Apr 16<br>TPR:    1.89%
Chandigarh,ch,2020-04-16,21,337,0,20,0,Date: Apr 16<br>TPR:    0.00%
Chhattisgarh,ct,2020-04-16,36,5519,3,397,0.00755667506297229,Date: Apr 16<br>TPR:    0.76%
Delhi,dl,2020-04-16,1640,18784,62,2179,0.0284534189995411,Date: Apr 16<br>TPR:    2.85%
Goa,ga,2020-04-16,7,611,0,55,0,Date: Apr 16<br>TPR:    0.00%
Gujarat,gj,2020-04-16,929,20903,163,1706,0.0955451348182884,Date: Apr 16<br>TPR:    9.55%
Himachal Pradesh,hp,2020-04-16,35,1604,0,178,0,Date: Apr 16<br>TPR:    0.00%
Haryana,hr,2020-04-16,215,8064,11,676,0.0162721893491124,Date: Apr 16<br>TPR:    1.63%
