Dates	variable	value	color
2020-07-19	mod_2	2065527	green
2020-07-19	mod_4	1295396	blue
2020-07-19	mod_4_up	16175276	blue
2020-07-20	mod_3	4307981	red
2020-07-20	mod_2	2081819	green
2020-07-20	mod_4	1312470	blue
2020-07-20	mod_4_up	16224458	blue
2020-07-21	mod_3	4326525	red
2020-07-21	mod_2	2097896	green
2020-07-21	mod_4	1329294	blue
2020-07-21	mod_4_up	16260235	blue
2020-07-22	mod_3	4344678	red
2020-07-22	mod_2	2113696	green
2020-07-22	mod_4	1345875	blue
2020-07-22	mod_4_up	16306531	blue
2020-07-23	mod_3	4362469	red
2020-07-23	mod_2	2129262	green
2020-07-23	mod_4	1362163	blue
2020-07-23	mod_4_up	16333915	blue
2020-07-24	mod_3	4379907	red
2020-07-24	mod_2	2144586	green
2020-07-24	mod_4	1378208	blue
2020-07-24	mod_4_up	16376379	blue
2020-07-25	mod_3	4396977	red
2020-07-25	mod_2	2159699	green
2020-07-25	mod_4	1393958	blue
2020-07-25	mod_4_up	16398634	blue
