Name,Date,State,Type,Count,date.fmt,count.fmt,text
Tripura,2020-12-05,tr,New Cases,24,Dec  5,24,Dec  5: 24 New Cases
Tripura,2020-12-06,tr,New Cases,31,Dec  6,31,Dec  6: 31 New Cases
Tripura,2020-12-07,tr,New Cases,6,Dec  7,6,Dec  7: 6 New Cases
Tripura,2020-12-08,tr,New Cases,28,Dec  8,28,Dec  8: 28 New Cases
Tripura,2020-12-09,tr,New Cases,20,Dec  9,20,Dec  9: 20 New Cases
Tripura,2020-12-10,tr,New Cases,31,Dec 10,31,Dec 10: 31 New Cases
Tripura,2020-12-11,tr,New Cases,21,Dec 11,21,Dec 11: 21 New Cases
Tripura,2020-12-12,tr,New Cases,18,Dec 12,18,Dec 12: 18 New Cases
Tripura,2020-12-13,tr,New Cases,23,Dec 13,23,Dec 13: 23 New Cases
Tripura,2020-12-14,tr,New Cases,10,Dec 14,10,Dec 14: 10 New Cases
Tripura,2020-12-15,tr,New Cases,9,Dec 15,9,Dec 15: 9 New Cases
Tripura,2020-12-16,tr,New Cases,24,Dec 16,24,Dec 16: 24 New Cases
Tripura,2020-12-17,tr,New Cases,17,Dec 17,17,Dec 17: 17 New Cases
Tripura,2020-12-18,tr,New Cases,21,Dec 18,21,Dec 18: 21 New Cases
Tripura,2020-12-19,tr,New Cases,26,Dec 19,26,Dec 19: 26 New Cases
Tripura,2020-12-20,tr,New Cases,22,Dec 20,22,Dec 20: 22 New Cases
Tripura,2020-12-21,tr,New Cases,8,Dec 21,8,Dec 21: 8 New Cases
Tripura,2020-12-22,tr,New Cases,13,Dec 22,13,Dec 22: 13 New Cases
Tripura,2020-12-23,tr,New Cases,15,Dec 23,15,Dec 23: 15 New Cases
Tripura,2020-12-24,tr,New Cases,13,Dec 24,13,Dec 24: 13 New Cases
Tripura,2020-12-25,tr,New Cases,9,Dec 25,9,Dec 25: 9 New Cases
Tripura,2020-12-26,tr,New Cases,1,Dec 26,1,Dec 26: 1 New Cases
Tripura,2020-12-27,tr,New Cases,11,Dec 27,11,Dec 27: 11 New Cases
Tripura,2020-12-28,tr,New Cases,7,Dec 28,7,Dec 28: 7 New Cases
Tripura,2020-12-29,tr,New Cases,2,Dec 29,2,Dec 29: 2 New Cases
Tripura,2020-12-30,tr,New Cases,12,Dec 30,12,Dec 30: 12 New Cases
Tripura,2020-12-31,tr,New Cases,6,Dec 31,6,Dec 31: 6 New Cases
Tripura,2021-01-01,tr,New Cases,4,Jan  1,4,Jan  1: 4 New Cases
Tripura,2021-01-02,tr,New Cases,8,Jan  2,8,Jan  2: 8 New Cases
Tripura,2021-01-03,tr,New Cases,6,Jan  3,6,Jan  3: 6 New Cases
Tripura,2021-01-04,tr,New Cases,1,Jan  4,1,Jan  4: 1 New Cases
Tripura,2021-01-05,tr,New Cases,1,Jan  5,1,Jan  5: 1 New Cases
Tripura,2021-01-06,tr,New Cases,2,Jan  6,2,Jan  6: 2 New Cases
Tripura,2021-01-07,tr,New Cases,8,Jan  7,8,Jan  7: 8 New Cases
Tripura,2021-01-08,tr,New Cases,5,Jan  8,5,Jan  8: 5 New Cases
Tripura,2021-01-09,tr,New Cases,0,Jan  9,0,Jan  9: 0 New Cases
Tripura,2021-01-10,tr,New Cases,8,Jan 10,8,Jan 10: 8 New Cases
Tripura,2021-01-11,tr,New Cases,0,Jan 11,0,Jan 11: 0 New Cases
Tripura,2021-01-12,tr,New Cases,2,Jan 12,2,Jan 12: 2 New Cases
Tripura,2021-01-13,tr,New Cases,6,Jan 13,6,Jan 13: 6 New Cases
Tripura,2021-01-14,tr,New Cases,5,Jan 14,5,Jan 14: 5 New Cases
Tripura,2021-01-15,tr,New Cases,5,Jan 15,5,Jan 15: 5 New Cases
Tripura,2021-01-16,tr,New Cases,4,Jan 16,4,Jan 16: 4 New Cases
Tripura,2021-01-17,tr,New Cases,0,Jan 17,0,Jan 17: 0 New Cases
Tripura,2021-01-18,tr,New Cases,3,Jan 18,3,Jan 18: 3 New Cases
Tripura,2021-01-19,tr,New Cases,3,Jan 19,3,Jan 19: 3 New Cases
